,area
china,9600000
usa,9100000
Albania,28727.64116
Austria,83946.89546
Bosnia and Herzegovina,51068.85984
Belgium,30707.46436
Bulgaria,111587.6679
Belarus,207069.82
Switzerland,41235.42112
Cyprus,5719.816472
Czechia,78837.64922
Germany,357823.9139
Denmark,43144.84886
Estonia,45489.85216
Spain,506044.3111
Finland,336940.1014
France,549516.5109
United Kindom,245293.9584
Greece,132578.6925
Croatia,57078.54979
Hungary,93039.71541
Ireland,70266.2425
Iceland,102224.092
Italy,300733.6988
Liechtenstein,159.4839063
Lithuania,65016.84326
Luxembourg,2581.556558
Latvia,64710.10556
Monaco,2.354775574
Moldova,33907.86696
Montenegro,13336.64133
North Macedonia,24909.99073
Malta,323.3678132
Netherlands,37686.94694
Norway,325121.2362
Poland,312400.042
Portugal,91878.03268
Romania,238338.6023
Sweden,450047.2758
Slovenia,19956.7781
Slovakia,49095.70809
Ukraine,601362.6201
Vatican City,0.526723295
